loan_id,cust_id,loan_purpose,loan_type,sanction_amount,loan_amount,processing_fee,gst,net_disbursement,loan_tenure_months,principal_outstanding,bank_balance_at_application,disbursal_date,installment_start_dt,default
L00017,C00017,Personal,Unsecured,156000,141000,2820.0,25380,112800,6,92104,63382,2019-07-25,2019-08-07,False
L00018,C00018,Home,Secured,4693000,4387000,87740.0,789660,3509600,39,769423,373109,2019-07-25,2019-08-13,True
L00019,C00019,Personal,Unsecured,1136000,914000,18280.0,164520,731200,8,653119,310157,2019-07-25,2019-08-03,False
L00020,C00020,Auto,Secured,227000,209000,4180.0,37620,167200,26,81228,52622,2019-07-25,2019-07-29,False
L00021,C00021,Home,Secured,26933000,25489000,509780.0,4588020,20391200,25,5000000,3855241,2019-07-25,2019-07-29,False
L00022,C00022,Education,Secured,3260000,3209000,64180.0,577620,2567200,45,1111837,395250,2019-07-25,2019-08-11,False
L00023,C00023,Auto,Secured,4403000,4154000,83080.0,747720,3323200,35,2032402,1927748,2019-07-25,2019-08-19,True
L00024,C00024,Home,Secured,39218000,30361000,607220.0,5464980,24288800,45,4668128,4419007,2019-07-25,2019-07-31,False
L00025,C00025,Auto,Secured,829000,768000,15360.0,138240,614400,31,332608,331236,2019-07-25,2019-08-19,False
L00026,C00026,Personal,Unsecured,5000000,4935000,98700.0,888300,3948000,16,3553199,2863959,2019-07-25,2019-07-31,False
L00027,C00027,Education,Secured,995000,857000,17140.0,154260,685600,45,349831,246432,2019-07-25,2019-08-16,False
L00028,C00028,Personal,Unsecured,331000,326000,6520.0,58680,260800,9,234719,85720,2019-07-25,2019-08-09,False
L00029,C00029,Home,Secured,963000,914000,18280.0,164520,731200,28,143127,84195,2019-07-25,2019-08-13,False
L00030,C00030,Home,Secured,7407000,6511000,130220.0,1171980,5208800,47,1287265,696073,2019-07-25,2019-08-24,True
L00031,C00031,Auto,Secured,640000,461000,9220.0,82980,368800,15,266281,168289,2019-07-25,2019-08-18,False
L00032,C00032,Home,Secured,984000,969000,19380.0,174420,775200,31,249216,164978,2019-07-25,2019-07-27,False
L00033,C00033,Personal,Unsecured,2312000,1821000,36420.0,327780,1456800,16,1311119,1178122,2019-07-25,2019-08-01,False
L00034,C00034,Auto,Secured,1532000,1191000,23820.0,214380,952800,29,552752,481046,2019-07-25,2019-08-15,False
L00035,C00035,Personal,Unsecured,2436000,1823000,36460.0,328140,1458400,16,1312559,1142722,2019-07-25,2019-08-02,False
L00036,C00036,Auto,Secured,3272000,2400000,48000.0,432000,1920000,21,1145554,578807,2019-07-25,2019-08-08,False
L00037,C00037,Auto,Secured,773000,643000,12860.0,115740,514400,17,420556,251700,2019-07-25,2019-08-24,False
L00038,C00038,Personal,Unsecured,5000000,4821000,96420.0,867780,3856800,22,3471119,2922149,2019-07-26,2019-08-06,False
L00039,C00039,Personal,Unsecured,5000000,3848000,76960.0,692640,3078400,7,2770559,3830979,2019-07-26,2019-08-15,False
L00040,C00040,Education,Secured,12679000,11493000,229860.0,2068740,9194400,27,4978574,3129078,2019-07-26,2019-08-17,False
L00041,C00041,Personal,Unsecured,3348000,3146000,62920.0,566280,2516800,9,2265119,1255666,2019-07-26,2019-08-07,False
L00042,C00042,Home,Secured,9718000,7395000,147900.0,1331100,5916000,33,1936122,977871,2019-07-26,2019-08-12,False
L00043,C00043,Auto,Secured,761000,700000,14000.0,126000,560000,19,341806,216529,2019-07-26,2019-08-03,False
L00044,C00044,Auto,Secured,1869000,1843000,36860.0,331740,1474400,18,904773,523581,2019-07-26,2019-08-21,False
L00045,C00045,Auto,Secured,10000000,7623000,152460.0,1372140,6098400,12,5000000,5414216,2019-07-26,2019-07-31,False
L00046,C00046,Auto,Secured,991000,900000,18000.0,162000,720000,13,341166,177544,2019-07-26,2019-07-31,False
L00047,C00047,Personal,Unsecured,1486000,1136000,22720.0,204480,908800,19,817919,784183,2019-07-26,2019-07-31,False
L00048,C00048,Personal,Unsecured,605000,454000,9080.0,81720,363200,6,326879,378357,2019-07-26,2019-08-25,False
L00049,C00049,Home,Secured,8144000,6148000,122960.0,1106640,4918400,45,1496005,710339,2019-07-26,2019-08-02,False
L00050,C00050,Education,Secured,1904000,1623000,32460.0,292140,1298400,37,450350,394542,2019-07-26,2019-08-23,False
L00051,C00051,Home,Secured,10393000,10386000,207720.0,1869480,8308800,29,1956218,793893,2019-07-26,2019-08-09,True
L00052,C00052,Auto,Secured,3402000,3368000,67360.0,606240,2694400,23,1471467,1381596,2019-07-26,2019-08-14,False
L00053,C00053,Auto,Secured,679000,537000,10740.0,96660,429600,18,208346,244788,2019-07-26,2019-08-01,False
L00054,C00054,Education,Secured,11992000,8782000,175640.0,1580760,7025600,22,3972874,2536614,2019-07-26,2019-08-09,False
L00055,C00055,Education,Secured,1927000,1606000,32120.0,289080,1284800,32,1119871,513754,2019-07-26,2019-08-06,False
L00056,C00056,Home,Secured,11167000,10122000,202440.0,1821960,8097600,44,2008026,2522425,2019-07-26,2019-08-04,False
L00057,C00057,Personal,Unsecured,792000,742000,14840.0,133560,593600,9,534239,371432,2019-07-26,2019-07-30,False
L00058,C00058,Personal,Unsecured,334000,258000,5160.0,46440,206400,8,173271,87929,2019-07-26,2019-08-17,False
L00059,C00059,Auto,Secured,636000,548000,10960.0,98640,438400,25,300971,184192,2019-07-26,2019-08-08,False
L00060,C00060,Personal,Unsecured,5000000,3529000,70580.0,635220,2823200,12,2540879,1961907,2019-07-26,2019-07-30,False
L00061,C00061,Education,Secured,407000,346000,6920.0,62280,276800,58,113688,88056,2019-07-26,2019-08-10,True
L00062,C00062,Personal,Unsecured,1606000,1203000,24060.0,216540,962400,19,866159,950240,2019-07-26,2019-08-15,False
L00063,C00063,Personal,Unsecured,1630000,1223000,24460.0,220140,978400,10,761538,773557,2019-07-26,2019-08-15,False
L00064,C00064,Auto,Secured,1671000,1321000,26420.0,237780,1056800,12,576705,438786,2019-07-26,2019-08-15,False
L00065,C00065,Personal,Unsecured,756000,667000,13340.0,120060,533600,21,480239,398510,2019-07-27,2019-08-02,False
L00066,C00066,Home,Secured,22440000,21750000,435000.0,3915000,17400000,48,4671088,3312482,2019-07-27,2019-08-04,False
L00067,C00067,Home,Secured,2106000,1892000,37840.0,340560,1513600,46,426481,281920,2019-07-27,2019-08-22,False
L00068,C00068,Home,Secured,5314000,3880000,77600.0,698400,3104000,24,1077186,819949,2019-07-27,2019-08-05,False
L00069,C00069,Home,Secured,2110000,1578000,31560.0,284040,1262400,37,414953,257546,2019-07-27,2019-08-14,False
L00070,C00070,Home,Secured,17881000,17483000,349660.0,3146940,13986400,38,3056479,1697422,2019-07-27,2019-08-12,True
L00071,C00071,Home,Secured,1875000,1850000,37000.0,333000,1480000,38,265130,220008,2019-07-27,2019-08-04,True
L00072,C00072,Personal,Unsecured,2141000,1700000,34000.0,306000,1360000,12,1223999,896214,2019-07-27,2019-08-24,False
L00073,C00073,Education,Secured,2666000,2295000,45900.0,413100,1836000,32,978071,357207,2019-07-27,2019-08-18,False
L00074,C00074,Home,Secured,3272000,2362000,47240.0,425160,1889600,41,602695,490907,2019-07-27,2019-08-18,False
L00075,C00075,Education,Secured,850000,701000,14020.0,126180,560800,38,179819,150148,2019-07-27,2019-08-01,False
L00076,C00076,Home,Secured,3039000,2471000,49420.0,444780,1976800,36,674743,247658,2019-07-27,2019-08-07,False
L00077,C00077,Home,Secured,10714000,9230000,184600.0,1661400,7384000,45,1614251,1024025,2019-07-27,2019-08-15,False
L00078,C00078,Auto,Secured,9819000,6969000,139380.0,1254420,5575200,21,4342481,3534121,2019-07-27,2019-08-11,False
L00079,C00079,Personal,Unsecured,4408000,3723000,74460.0,670140,2978400,20,2644331,1940273,2019-07-27,2019-08-07,True
L00080,C00080,Auto,Secured,1225000,1221000,24420.0,219780,976800,35,350124,286527,2019-07-27,2019-08-14,False
L00081,C00081,Personal,Unsecured,2482000,2268000,45360.0,408240,1814400,18,1632959,1015723,2019-07-27,2019-08-19,False
L00082,C00082,Home,Secured,6801000,6361000,127220.0,1144980,5088800,34,1049982,790280,2019-07-27,2019-08-14,False
L00083,C00083,Auto,Secured,4570000,3911000,78220.0,703980,3128800,28,2815919,1104326,2019-07-27,2019-08-20,False
L00084,C00084,Home,Secured,3937000,2998000,59960.0,539640,2398400,30,611811,500595,2019-07-27,2019-07-28,False
L00085,C00085,Home,Secured,6092000,4428000,88560.0,797040,3542400,30,860882,569988,2019-07-27,2019-08-04,False
L00086,C00086,Auto,Secured,639000,560000,11200.0,100800,448000,17,202685,121243,2019-07-27,2019-07-28,False
L00087,C00087,Home,Secured,15222000,11538000,230760.0,2076840,9230400,28,3406729,1148860,2019-07-27,2019-08-08,False
L00088,C00088,Personal,Unsecured,5000000,3745000,74900.0,674100,2996000,11,2696399,3043259,2019-07-27,2019-08-07,False
L00089,C00089,Home,Secured,553000,436000,8720.0,78480,348800,34,76718,63147,2019-07-27,2019-08-02,False
L00090,C00090,Personal,Unsecured,1110000,901000,18020.0,162180,720800,11,648719,408414,2019-07-27,2019-08-12,False
L00091,C00091,Personal,Unsecured,540000,441000,8820.0,79380,352800,10,298299,340571,2019-07-27,2019-08-23,False
L00092,C00092,Home,Secured,10671000,8097000,161940.0,1457460,6477600,48,2024223,1045917,2019-07-27,2019-08-01,False
L00093,C00093,Personal,Unsecured,3029000,2471000,49420.0,444780,1976800,21,1756075,967564,2019-07-28,2019-08-08,False
L00094,C00094,Auto,Secured,667000,502000,10040.0,90360,401600,17,277253,137026,2019-07-28,2019-08-23,True
L00095,C00095,Personal,Unsecured,2316000,2077000,41540.0,373860,1661600,8,1192240,845700,2019-07-28,2019-08-19,False
L00096,C00096,Education,Secured,751000,582000,11640.0,104760,465600,30,227696,166747,2019-07-28,2019-07-30,False
L00097,C00097,Personal,Unsecured,1385000,1366000,27320.0,245880,1092800,15,903743,419857,2019-07-28,2019-08-18,False
L00098,C00098,Home,Secured,7241000,5681000,113620.0,1022580,4544800,42,1492503,964929,2019-07-28,2019-08-06,False
L00099,C00099,Education,Secured,568000,419000,8380.0,75420,335200,38,240606,130042,2019-07-28,2019-08-01,True
L00100,C00100,Home,Secured,34913000,34579000,691580.0,6224220,27663200,29,5000000,3226836,2019-07-28,2019-08-17,True
L00101,C00101,Education,Secured,5483000,4085000,81700.0,735300,3268000,49,1546937,1073838,2019-07-28,2019-08-01,False
L00102,C00102,Education,Secured,3802000,3454000,69080.0,621720,2763200,14,1025571,850858,2019-07-28,2019-08-09,False
L00103,C00103,Education,Secured,20000000,19223000,384460.0,3460140,15378400,22,5000000,3368058,2019-07-28,2019-08-01,True
L00104,C00104,Home,Secured,8858000,7791000,155820.0,1402380,6232800,25,1583219,1210716,2019-07-28,2019-08-03,False
L00105,C00105,Personal,Unsecured,5000000,3812000,76240.0,686160,3049600,19,2744639,3544877,2019-07-28,2019-08-04,False
L00106,C00106,Personal,Unsecured,5000000,4346000,86920.0,782280,3476800,13,3129119,3596529,2019-07-28,2019-08-12,False
L00107,C00107,Education,Secured,1564000,1544000,30880.0,277920,1235200,40,696696,461976,2019-07-28,2019-08-14,False
L00108,C00108,Auto,Secured,1276000,904000,18080.0,162720,723200,33,539999,269094,2019-07-28,2019-08-27,False
L00109,C00109,Personal,Unsecured,1983000,1863000,37260.0,335340,1490400,6,1197488,517880,2019-07-28,2019-08-16,False
L00110,C00110,Education,Secured,1176000,891000,17820.0,160380,712800,26,398731,221825,2019-07-28,2019-08-12,False
L00111,C00111,Auto,Secured,1750000,1318000,26360.0,237240,1054400,14,533171,589469,2019-07-28,2019-08-24,False
L00112,C00112,Auto,Secured,10000000,7401000,148020.0,1332180,5920800,27,5000000,2537684,2019-07-28,2019-08-05,False
L00113,C00113,Auto,Secured,1654000,1618000,32360.0,291240,1294400,26,553261,528269,2019-07-28,2019-08-26,False
L00114,C00114,Home,Secured,9078000,7368000,147360.0,1326240,5894400,25,2675278,887709,2019-07-28,2019-08-16,False
L00115,C00115,Home,Secured,2747000,2666000,53320.0,479880,2132800,26,535603,189353,2019-07-28,2019-08-01,False
L00116,C00116,Auto,Secured,876000,847000,16940.0,152460,677600,25,425510,342464,2019-07-28,2019-07-29,False
L00117,C00117,Education,Secured,5733000,5186000,103720.0,933480,4148800,53,1985808,1314868,2019-07-28,2019-07-29,False
L00118,C00118,Auto,Secured,1176000,1073000,21460.0,193140,858400,27,374482,275859,2019-07-28,2019-08-02,False
L00119,C00119,Personal,Unsecured,1998000,1410000,28200.0,253800,1128000,22,1015199,733009,2019-07-28,2019-08-14,False
L00120,C00120,Auto,Secured,1046000,964000,19280.0,173520,771200,19,546694,321995,2019-07-29,2019-08-13,False
L00121,C00121,Personal,Unsecured,909000,881000,17620.0,158580,704800,23,634319,655623,2019-07-29,2019-08-21,False
L00122,C00122,Auto,Secured,1182000,1048000,20960.0,188640,838400,26,355837,191653,2019-07-29,2019-08-01,False
L00123,C00123,Auto,Secured,4276000,3622000,72440.0,651960,2897600,15,2479918,1653219,2019-07-29,2019-08-02,False
L00124,C00124,Home,Secured,51237000,37313000,746260.0,6716340,29850400,33,4639449,4706942,2019-07-29,2019-08-25,False
L00125,C00125,Education,Secured,876000,795000,15900.0,143100,636000,41,362172,246775,2019-07-29,2019-08-13,False
L00126,C00126,Personal,Unsecured,469000,442000,8840.0,79560,353600,15,318239,217251,2019-07-29,2019-08-22,False
L00127,C00127,Personal,Unsecured,3731000,2749000,54980.0,494820,2199200,10,1979279,1328256,2019-07-29,2019-08-02,False
L00128,C00128,Education,Secured,1181000,926000,18520.0,166680,740800,54,436041,328376,2019-07-29,2019-08-15,False
L00129,C00129,Education,Secured,2584000,1882000,37640.0,338760,1505600,35,870097,591423,2019-07-29,2019-08-01,False
L00130,C00130,Personal,Unsecured,5000000,3628000,72560.0,653040,2902400,13,2612159,2380394,2019-07-29,2019-08-07,False
L00131,C00131,Education,Secured,11741000,10103000,202060.0,1818540,8082400,46,3172863,2854771,2019-07-29,2019-08-04,False
L00132,C00132,Education,Secured,2812000,2134000,42680.0,384120,1707200,54,795644,370628,2019-07-29,2019-08-24,False
L00133,C00133,Personal,Unsecured,556000,470000,9400.0,84600,376000,6,299561,212647,2019-07-29,2019-08-20,False
L00134,C00134,Home,Secured,3580000,2896000,57920.0,521280,2316800,46,568232,313926,2019-07-29,2019-08-05,False
L00135,C00135,Home,Secured,5902000,4577000,91540.0,823860,3661600,46,989226,700234,2019-07-29,2019-08-03,False
L00136,C00136,Personal,Unsecured,1934000,1618000,32360.0,291240,1294400,16,1164959,1368763,2019-07-29,2019-08-14,False
L00137,C00137,Personal,Unsecured,3566000,3560000,71200.0,640800,2848000,14,1760446,1475074,2019-07-29,2019-08-08,False
L00138,C00138,Personal,Unsecured,658000,594000,11880.0,106920,475200,20,427679,213413,2019-07-29,2019-08-03,False
L00139,C00139,Personal,Unsecured,5000000,3991000,79820.0,718380,3192800,8,2873519,2720410,2019-07-29,2019-08-07,False
L00140,C00140,Personal,Unsecured,302000,297000,5940.0,53460,237600,13,168787,122613,2019-07-29,2019-08-06,False
L00141,C00141,Education,Secured,1381000,1052000,21040.0,189360,841600,35,569791,237208,2019-07-29,2019-08-08,False
L00142,C00142,Home,Secured,16906000,12346000,246920.0,2222280,9876800,37,4348612,1851133,2019-07-29,2019-08-18,False
L00143,C00143,Personal,Unsecured,1005000,974000,19480.0,175320,779200,18,521625,387899,2019-07-29,2019-08-23,False
L00144,C00144,Home,Secured,34140000,31554000,631080.0,5679720,25243200,25,5000000,3003312,2019-07-29,2019-08-07,False
L00145,C00145,Home,Secured,32697000,31130000,622600.0,5603400,24904000,25,4941668,2897967,2019-07-29,2019-08-01,False
L00146,C00146,Personal,Unsecured,3767000,3369000,67380.0,606420,2695200,13,2425679,1313686,2019-07-29,2019-08-13,False
L00147,C00147,Education,Secured,20000000,14018000,280360.0,2523240,11214400,29,5000000,3242901,2019-07-30,2019-08-03,False
L00148,C00148,Personal,Unsecured,300000,222000,4440.0,39960,177600,14,121145,167553,2019-07-30,2019-08-07,False
L00149,C00149,Personal,Unsecured,5000000,4914000,98280.0,884520,3931200,11,3538079,2380266,2019-07-30,2019-08-21,False
L00150,C00150,Education,Secured,360000,265000,5300.0,47700,212000,37,127900,106225,2019-07-30,2019-08-26,False
L00151,C00151,Personal,Unsecured,1010000,845000,16900.0,152100,676000,16,608399,703958,2019-07-30,2019-08-07,False
L00152,C00152,Home,Secured,1816000,1761000,35220.0,316980,1408800,39,398776,203811,2019-07-30,2019-08-11,False
L00153,C00153,Home,Secured,2151000,1881000,37620.0,338580,1504800,39,406023,237368,2019-07-30,2019-08-29,False
L00154,C00154,Personal,Unsecured,5000000,3509000,70180.0,631620,2807200,23,2526479,2302434,2019-07-30,2019-08-22,False
L00155,C00155,Home,Secured,16394000,15696000,313920.0,2825280,12556800,25,3862526,1685911,2019-07-30,2019-08-28,False
L00156,C00156,Personal,Unsecured,3402000,2405000,48100.0,432900,1924000,8,1731599,1424596,2019-07-30,2019-08-06,False
L00157,C00157,Personal,Unsecured,1574000,1500000,30000.0,270000,1200000,14,1079999,1123115,2019-07-30,2019-08-13,False
L00158,C00158,Personal,Unsecured,121000,107000,2140.0,19260,85600,10,66044,40398,2019-07-30,2019-08-19,False
L00159,C00159,Education,Secured,1622000,1352000,27040.0,243360,1081600,44,563212,440373,2019-07-30,2019-08-27,False
L00160,C00160,Personal,Unsecured,1584000,1537000,30740.0,276660,1229600,11,1106639,810348,2019-07-30,2019-08-26,False
L00161,C00161,Personal,Unsecured,1213000,1138000,22760.0,204840,910400,8,748597,593193,2019-07-30,2019-08-10,False
L00162,C00162,Personal,Unsecured,415000,412000,8240.0,74160,329600,13,289602,158749,2019-07-30,2019-08-06,False
L00163,C00163,Auto,Secured,2732000,2726000,54520.0,490680,2180800,31,1489387,1091252,2019-07-30,2019-08-23,False
L00164,C00164,Home,Secured,3183000,2546000,50920.0,458280,2036800,25,533775,244223,2019-07-30,2019-08-04,False
L00165,C00165,Personal,Unsecured,1357000,1325000,26500.0,238500,1060000,17,953999,787542,2019-07-30,2019-08-07,False
L00166,C00166,Home,Secured,8406000,7500000,150000.0,1350000,6000000,32,1369946,1560311,2019-07-30,2019-08-02,False
L00167,C00167,Personal,Unsecured,2205000,2028000,40560.0,365040,1622400,12,1460159,1138376,2019-07-30,2019-08-10,False
L00168,C00168,Education,Secured,3361000,3085000,61700.0,555300,2468000,56,1293961,1041306,2019-07-30,2019-08-14,False
L00169,C00169,Home,Secured,4288000,3534000,70680.0,636120,2827200,33,778770,382764,2019-07-30,2019-08-03,False
L00170,C00170,Auto,Secured,3413000,3087000,61740.0,555660,2469600,14,1350182,837020,2019-07-30,2019-08-21,False
L00171,C00171,Personal,Unsecured,1539000,1435000,28700.0,258300,1148000,6,732908,457947,2019-07-30,2019-08-04,False
L00172,C00172,Personal,Unsecured,2068000,1927000,38540.0,346860,1541600,18,1299744,1321849,2019-07-30,2019-08-15,False
L00173,C00173,Education,Secured,4483000,3262000,65240.0,587160,2609600,54,1585324,1446436,2019-07-30,2019-08-28,False
L00174,C00174,Personal,Unsecured,3074000,2690000,53800.0,484200,2152000,6,1936799,1233169,2019-07-30,2019-08-09,False
L00175,C00175,Home,Secured,4984000,4910000,98200.0,883800,3928000,36,806866,555225,2019-07-31,2019-08-14,False
L00176,C00176,Home,Secured,6968000,4887000,97740.0,879660,3909600,47,1398539,586062,2019-07-31,2019-08-05,False
L00177,C00177,Personal,Unsecured,5000000,4038000,80760.0,726840,3230400,19,2907359,2293671,2019-07-31,2019-08-10,False
L00178,C00178,Education,Secured,2111000,1722000,34440.0,309960,1377600,45,848110,854494,2019-07-31,2019-08-17,False
L00179,C00179,Home,Secured,32635000,29910000,598200.0,5383800,23928000,29,5000000,4708086,2019-07-31,2019-08-01,False
L00180,C00180,Auto,Secured,3965000,3052000,61040.0,549360,2441600,35,2197439,903539,2019-07-31,2019-08-16,False
L00181,C00181,Personal,Unsecured,192000,176000,3520.0,31680,140800,19,126719,73162,2019-07-31,2019-08-04,False
L00182,C00182,Home,Secured,8632000,7481000,149620.0,1346580,5984800,33,1311730,766793,2019-07-31,2019-08-23,True
L00183,C00183,Education,Secured,6732000,6591000,131820.0,1186380,5272800,37,1843451,1067766,2019-07-31,2019-08-11,True
L00184,C00184,Auto,Secured,1972000,1754000,35080.0,315720,1403200,12,741913,708915,2019-07-31,2019-08-27,False
L00185,C00185,Personal,Unsecured,593000,562000,11240.0,101160,449600,22,386924,219670,2019-07-31,2019-08-28,False
L00186,C00186,Home,Secured,33191000,25324000,506480.0,4558320,20259200,34,5000000,5210871,2019-07-31,2019-08-30,False
L00187,C00187,Auto,Secured,1047000,868000,17360.0,156240,694400,34,536153,230795,2019-07-31,2019-08-08,False
L00188,C00188,Personal,Unsecured,5000000,4230000,84600.0,761400,3384000,20,3045599,2581330,2019-07-31,2019-08-03,False
L00189,C00189,Auto,Secured,4969000,3811000,76220.0,685980,3048800,13,1479310,1133368,2019-07-31,2019-08-06,False
L00190,C00190,Education,Secured,7889000,6447000,128940.0,1160460,5157600,41,1647471,1637203,2019-07-31,2019-08-02,False
L00191,C00191,Home,Secured,20992000,16022000,320440.0,2883960,12817600,39,2613249,2337108,2019-07-31,2019-08-23,False
L00192,C00192,Education,Secured,4453000,3175000,63500.0,571500,2540000,17,1565289,1167875,2019-07-31,2019-08-19,False
L00193,C00193,Education,Secured,6795000,5330000,106600.0,959400,4264000,40,2697554,1335046,2019-07-31,2019-08-28,False
L00194,C00194,Home,Secured,5460000,4137000,82740.0,744660,3309600,26,566697,634330,2019-07-31,2019-08-13,False
L00195,C00195,Personal,Unsecured,114000,108000,2160.0,19440,86400,20,77759,51203,2019-07-31,2019-08-18,False
L00196,C00196,Personal,Unsecured,917000,742000,14840.0,133560,593600,11,534239,412948,2019-07-31,2019-08-06,True
L00197,C00197,Personal,Unsecured,2429000,2189000,43780.0,394020,1751200,16,1334635,1405687,2019-07-31,2019-08-28,False
L00198,C00198,Auto,Secured,1360000,1259000,25180.0,226620,1007200,21,478056,553901,2019-07-31,2019-08-16,False
L00199,C00199,Home,Secured,8733000,7959000,159180.0,1432620,6367200,42,1755389,577937,2019-07-31,2019-08-29,False
L00200,C00200,Home,Secured,3813000,3229000,64580.0,581220,2583200,39,538593,332456,2019-07-31,2019-08-02,False
L00201,C00201,Auto,Secured,1497000,1269000,25380.0,228420,1015200,19,748395,448817,2019-07-31,2019-08-28,False
L00202,C00202,Home,Secured,2704000,2006000,40120.0,361080,1604800,39,473349,396099,2019-08-01,2019-08-17,False
L00203,C00203,Personal,Unsecured,2327000,1672000,33440.0,300960,1337600,6,1203839,994260,2019-08-01,2019-08-14,False
L00204,C00204,Auto,Secured,4242000,4042000,80840.0,727560,3233600,22,2016549,982533,2019-08-01,2019-08-12,False
L00205,C00205,Auto,Secured,8489000,7137000,142740.0,1284660,5709600,25,2127057,2798035,2019-08-01,2019-08-28,False
L00206,C00206,Auto,Secured,299000,217000,4340.0,39060,173600,23,135442,74522,2019-08-01,2019-08-28,False
L00207,C00207,Home,Secured,676000,593000,11860.0,106740,474400,47,115701,75808,2019-08-01,2019-08-08,False
L00208,C00208,Personal,Unsecured,328000,302000,6040.0,54360,241600,10,217439,109018,2019-08-01,2019-08-20,False
L00209,C00209,Personal,Unsecured,255000,199000,3980.0,35820,159200,23,143279,77691,2019-08-01,2019-08-08,False
L00210,C00210,Personal,Unsecured,5000000,4263000,85260.0,767340,3410400,16,3069359,3219220,2019-08-01,2019-08-06,False
L00211,C00211,Home,Secured,1534000,1380000,27600.0,248400,1104000,34,297730,119074,2019-08-01,2019-08-19,False
L00212,C00212,Education,Secured,509000,472000,9440.0,84960,377600,12,248781,121534,2019-08-01,2019-08-05,False
L00213,C00213,Auto,Secured,990000,935000,18700.0,168300,748000,24,578633,348314,2019-08-01,2019-08-07,False
L00214,C00214,Personal,Unsecured,273000,272000,5440.0,48960,217600,20,195839,179787,2019-08-01,2019-08-19,False
L00215,C00215,Personal,Unsecured,5000000,4940000,98800.0,889200,3952000,6,3556799,4231778,2019-08-01,2019-08-05,False
L00216,C00216,Home,Secured,2375000,2117000,42340.0,381060,1693600,26,450080,385113,2019-08-01,2019-08-17,False
L00217,C00217,Education,Secured,3356000,3088000,61760.0,555840,2470400,43,1161602,772026,2019-08-01,2019-08-14,False
L00218,C00218,Personal,Unsecured,4972000,4031000,80620.0,725580,3224800,6,2902319,1397918,2019-08-01,2019-08-02,False
L00219,C00219,Personal,Unsecured,2185000,1556000,31120.0,280080,1244800,21,1120319,659863,2019-08-01,2019-08-31,False
L00220,C00220,Home,Secured,12790000,10183000,203660.0,1832940,8146400,41,1939983,1018359,2019-08-01,2019-08-19,False
L00221,C00221,Personal,Unsecured,1461000,1067000,21340.0,192060,853600,16,768239,714214,2019-08-01,2019-08-06,False
L00222,C00222,Home,Secured,1792000,1656000,33120.0,298080,1324800,39,172736,130001,2019-08-01,2019-08-07,True
L00223,C00223,Personal,Unsecured,3053000,3023000,60460.0,544140,2418400,18,2176559,1227739,2019-08-01,2019-08-11,False
L00224,C00224,Home,Secured,3119000,2613000,52260.0,470340,2090400,37,323696,287591,2019-08-01,2019-08-25,False
L00225,C00225,Home,Secured,6691000,4856000,97120.0,874080,3884800,42,902313,510418,2019-08-01,2019-08-10,False
L00226,C00226,Home,Secured,1719000,1523000,30460.0,274140,1218400,40,434728,114262,2019-08-01,2019-08-16,False
L00227,C00227,Personal,Unsecured,2694000,2063000,41260.0,371340,1650400,20,1485359,1119222,2019-08-01,2019-08-25,True
L00228,C00228,Home,Secured,6005000,4500000,90000.0,810000,3600000,47,777350,819858,2019-08-01,2019-08-16,False
